,day,month,year,holiday,temp,increase,power
388,4,11,2017,1,24.0,-6.098122137739114,42854
389,5,11,2017,1,23.0,-7.040182946749427,39837
390,6,11,2017,0,22.8,7.879609408338982,42976
391,7,11,2017,0,22.2,-4.839910647803425,40896
392,10,11,2017,0,24.2,3.5244382149477773,45793
393,11,11,2017,1,25.7,-3.0004585853733103,44419
394,12,11,2017,1,25.5,-6.5287377023345865,41519
395,13,11,2017,0,25.9,12.717069293576436,46799
396,14,11,2017,0,26.1,3.2564798393128056,48323
397,15,11,2017,0,26.0,0.3683546137450076,48501
398,16,11,2017,0,26.4,1.7195521741819757,49335
399,17,11,2017,0,27.5,2.7384209992905646,50686
400,18,11,2017,1,25.9,-9.51939391547962,45861
401,19,11,2017,1,20.4,-14.720568674908964,39110
402,20,11,2017,0,19.5,7.297366402454615,41964
403,21,11,2017,0,18.6,0.2478314745972739,42068
404,22,11,2017,0,18.1,-0.159265950366074,42001
405,23,11,2017,0,18.1,-0.485702721363777,41797
406,24,11,2017,0,15.5,-0.23925162092973185,41697
407,25,11,2017,1,15.4,-3.933136676499508,40057
408,26,11,2017,1,17.5,-6.330978355842924,37521
409,27,11,2017,0,18.9,8.821726499826761,40831
410,28,11,2017,0,20.9,2.390340672528226,41807
411,29,11,2017,0,22.7,1.0548472743798885,42248
412,30,11,2017,0,23.1,-0.4307896231774285,42066
413,3,12,2017,1,20.2,-4.060348319157554,37900
414,4,12,2017,0,21.2,12.319261213720315,42569
415,5,12,2017,0,20.3,1.1792619042025887,43071
416,6,12,2017,0,20.2,0.19502681618722573,43155
417,7,12,2017,0,20.1,0.7878577221642915,43495
418,8,12,2017,0,19.3,-0.6046672031267961,43232
419,9,12,2017,1,17.7,-3.2799777942264985,41814
420,10,12,2017,1,16.9,-6.827856698713349,38959
421,11,12,2017,0,17.2,9.776944993454658,42768
422,12,12,2017,0,16.0,2.642162364384587,43898
423,13,12,2017,0,15.8,1.81557246343797,44695
424,14,12,2017,0,16.7,0.4899876943729724,44914
425,15,12,2017,0,16.6,-0.05120897715634323,44891
426,16,12,2017,1,18.1,-4.426276982023122,42904
427,17,12,2017,1,15.7,-6.808223009509603,39983
428,18,12,2017,0,15.0,9.171397844083735,43650
429,19,12,2017,0,14.8,1.5097365406643757,44309
430,20,12,2017,0,14.1,0.8305310433546231,44677
431,21,12,2017,0,16.0,-0.5259977169460796,44442
432,22,12,2017,0,17.5,-1.1768147248098646,43919
433,23,12,2017,1,16.7,-3.654454791775769,42314
434,24,12,2017,1,18.8,-6.964598005388288,39367
435,25,12,2017,0,16.5,3.6096222724617055,40788
436,28,12,2017,0,15.9,0.890783266684227,42133
437,29,12,2017,0,17.9,13.554695844112695,47844
438,30,12,2017,1,18.3,-3.774767995986958,46038
439,31,12,2017,1,17.7,-0.6885616230070811,45721
440,1,1,2018,1,17.7,-21.84116707858533,35735
441,2,1,2018,0,18.0,19.43192948090108,42679
442,3,1,2018,0,19.4,6.905035263244219,45626
443,4,1,2018,0,19.9,0.9534037610134573,46061
444,5,1,2018,0,20.5,0.11289377130327174,46113
445,6,1,2018,1,20.1,-3.84273415305879,44341
446,7,1,2018,1,20.3,-6.3643129383640415,41519
447,8,1,2018,0,18.0,9.263228883161926,45365
448,9,1,2018,0,11.9,4.19486388184724,47268
449,10,1,2018,0,13.7,1.4237962257764238,47941
450,11,1,2018,0,14.4,-0.3566884295279614,47770
451,12,1,2018,0,15.2,-1.2643918777475402,47166
452,13,1,2018,1,15.0,-3.814188186405461,45367
453,14,1,2018,1,16.0,-5.664910617849978,42797
454,15,1,2018,0,17.1,7.7108208519288715,46097
455,16,1,2018,0,17.5,3.130355554591405,47540
456,17,1,2018,0,19.5,-0.5237694572991165,47291
457,18,1,2018,0,19.7,-0.6216827726205831,46997
458,19,1,2018,0,21.6,-0.16171244973083387,46921
459,20,1,2018,1,19.9,-4.2305151211611,44936
460,21,1,2018,1,20.9,-6.079757877870749,42204
461,22,1,2018,0,21.2,7.641455786181403,45429
462,23,1,2018,0,21.5,1.659732769816637,46183
463,24,1,2018,0,22.0,0.8293094861745663,46566
464,25,1,2018,0,23.3,0.8955031568096895,46983
465,26,1,2018,0,21.2,-2.5392163122831666,45790
466,27,1,2018,1,18.4,-9.207250491373662,41574
467,28,1,2018,1,15.5,-1.486505989320248,40956
468,29,1,2018,0,12.4,12.78200996191034,46191
469,30,1,2018,0,11.3,5.8994176354701136,48916
470,31,1,2018,0,11.7,2.079074331507073,49933
471,1,2,2018,0,13.8,-2.020707748382833,48924
472,2,2,2018,0,13.9,-0.42310522442972776,48717
473,3,2,2018,1,14.3,-4.047868300593223,46745
474,4,2,2018,1,14.0,-5.840196812493313,44015
475,5,2,2018,0,13.3,7.99727365670794,47535
476,6,2,2018,0,13.1,1.5504365204586097,48272
